mz_exact,mixrat_bottle [ppbv],1_sigm [ppbv],k [1.e-9 cm3 molecule-1 s-1],k_ionicon [1.e-9 cm3 molecule-1 s-1],k_Holzinger [1.e-9 cm3 molecule-1 s-1],k_calculated [1.e-9 cm3 molecule-1 s-1],fr,Tr_selection
21.022,,,,,,,,False
33.033,1068,35.0,2.2,2.2,2.2,2.196,1.014,True
33.989,,,,,,,,False
38.033,,,,,,,,False
39.033,,,,,,,,False
41.039,508,7.5,1.85,1.85,1.85,,,False
42.034,490,11.5,3.1,4.4,3.1,3.782,1.026,True
45.033,1006,18.0,3.03,3.03,3.03,2.962,1.025,True
47.049,493,10.0,3.0,3.0,3.0,,1,False
59.049,1026,16.5,3.25,3.7,3.25,3.095,1.036,True
69.07,508,7.5,1.85,1.85,1.85,,1.057,False
71.049,971,10.259142264341596,2.72,2.72,2.72,3.3964999999999996,1.048,False
73.065,502,9.5,3.25,3.25,3.25,3.052,1.048,False
78.046,,,,,,,,False
79.054,506,7.5,1.97,2.0,1.97,1.932,1.068,True
80.058,506,7.5,1.97,2.0,1.97,1.932,16.6,False
81.07,982,15.0,2.04,2.04,2.04,,1.068,False
83.086,986,15.5,2,2,2,,1.069,False
93.07,491,7.5,2.15,2.12,2.12,2.062,1.08,True
107.086,487,7.5,2.31,2.26,2.31,2.203,1.092,True
121.101,482,8.5,2.4,2.2,2.4,2.404,1.105,False
133.026,531,11.0,2.46,2.46,2.46,,1.067,False
137.132,982,15.5,2.04,2.04,2.04,,1.117,False
179.929,,,,,,,,False
180.937,485,7.5,2.4,2.2,2.4,2.183,2.4777,True
203.9445,,,,,,,,False
297.082,989,16.0,,2.0,2.99,,1.5,False
371.101,1008,15.5,,2.0,3.39,,1.7,False
330.8475,,,,,,,,False
